Job ID : 16760
Node   : ensta-l40s02
GPU    : NVIDIA L40S
Date   : ven. 20 mars 2026 23:57:02 CET
PyTorch version: 2.9.1+cu128
CUDA available : True
CUDA device    : NVIDIA L40S
Using device: cuda
Train: torch.Size([60000, 784]), Test: torch.Size([10000, 784])

=== Fig 1: layers ===

Architecture: [784, 200, 200, 10]

[Pretraining DNN1]

--- Training RBM layer 1/2 ---
Epoch 73/200 - Cross-entropy: 0.0645
Epoch 74/200 - Cross-entropy: 0.0617
Epoch 75/200 - Cross-entropy: 0.0612
Epoch 76/200 - Cross-entropy: 0.0594
Epoch 77/200 - Cross-entropy: 0.0583
Epoch 78/200 - Cross-entropy: 0.0564
Epoch 79/200 - Cross-entropy: 0.0558
Epoch 80/200 - Cross-entropy: 0.0550
Epoch 81/200 - Cross-entropy: 0.0536
Epoch 82/200 - Cross-entropy: 0.0526
Epoch 83/200 - Cross-entropy: 0.0516
Epoch 84/200 - Cross-entropy: 0.0509
Epoch 85/200 - Cross-entropy: 0.0489
Epoch 86/200 - Cross-entropy: 0.0488
Epoch 87/200 - Cross-entropy: 0.0465
Epoch 88/200 - Cross-entropy: 0.0451
Epoch 89/200 - Cross-entropy: 0.0451
Epoch 90/200 - Cross-entropy: 0.0441
Epoch 91/200 - Cross-entropy: 0.0425
Epoch 92/200 - Cross-entropy: 0.0425
Epoch 93/200 - Cross-entropy: 0.0412
Epoch 94/200 - Cross-entropy: 0.0405
Epoch 95/200 - Cross-entropy: 0.0406
Epoch 96/200 - Cross-entropy: 0.0390
Epoch 97/200 - Cross-entropy: 0.0381
Epoch 98/200 - Cross-entropy: 0.0395
Epoch 99/200 - Cross-entropy: 0.0370
Epoch 100/200 - Cross-entropy: 0.0356
Epoch 101/200 - Cross-entropy: 0.0355
Epoch 102/200 - Cross-entropy: 0.0339
Epoch 103/200 - Cross-entropy: 0.0363
Epoch 104/200 - Cross-entropy: 0.0319
Epoch 105/200 - Cross-entropy: 0.0316
Epoch 106/200 - Cross-entropy: 0.0305
Epoch 107/200 - Cross-entropy: 0.0309
Epoch 108/200 - Cross-entropy: 0.0297
Epoch 109/200 - Cross-entropy: 0.0290
Epoch 110/200 - Cross-entropy: 0.0282
Epoch 111/200 - Cross-entropy: 0.0275
Epoch 112/200 - Cross-entropy: 0.0278
Epoch 113/200 - Cross-entropy: 0.0270
Epoch 114/200 - Cross-entropy: 0.0262
Epoch 115/200 - Cross-entropy: 0.0259
Epoch 116/200 - Cross-entropy: 0.0258
Epoch 117/200 - Cross-entropy: 0.0248
Epoch 118/200 - Cross-entropy: 0.0240
Epoch 119/200 - Cross-entropy: 0.0237
Epoch 120/200 - Cross-entropy: 0.0242
Epoch 121/200 - Cross-entropy: 0.0225
Epoch 122/200 - Cross-entropy: 0.0221
Epoch 123/200 - Cross-entropy: 0.0216
Epoch 124/200 - Cross-entropy: 0.0208
Epoch 125/200 - Cross-entropy: 0.0206
Epoch 126/200 - Cross-entropy: 0.0202
Epoch 127/200 - Cross-entropy: 0.0202
Epoch 128/200 - Cross-entropy: 0.0198
Epoch 129/200 - Cross-entropy: 0.0188
Epoch 130/200 - Cross-entropy: 0.0193
Epoch 131/200 - Cross-entropy: 0.0183
Epoch 132/200 - Cross-entropy: 0.0180
Epoch 133/200 - Cross-entropy: 0.0176
Epoch 134/200 - Cross-entropy: 0.0169
Epoch 135/200 - Cross-entropy: 0.0168
Epoch 136/200 - Cross-entropy: 0.0163
Epoch 137/200 - Cross-entropy: 0.0161
Epoch 138/200 - Cross-entropy: 0.0163
Epoch 139/200 - Cross-entropy: 0.0153
Epoch 140/200 - Cross-entropy: 0.0151
Epoch 141/200 - Cross-entropy: 0.0160
Epoch 142/200 - Cross-entropy: 0.0144
Epoch 143/200 - Cross-entropy: 0.0145
Epoch 144/200 - Cross-entropy: 0.0141
Epoch 145/200 - Cross-entropy: 0.0137
Epoch 146/200 - Cross-entropy: 0.0139
Epoch 147/200 - Cross-entropy: 0.0131
Epoch 148/200 - Cross-entropy: 0.0129
Epoch 149/200 - Cross-entropy: 0.0129
Epoch 150/200 - Cross-entropy: 0.0129
Epoch 151/200 - Cross-entropy: 0.0122
Epoch 152/200 - Cross-entropy: 0.0119
Epoch 153/200 - Cross-entropy: 0.0120
Epoch 154/200 - Cross-entropy: 0.0120
Epoch 155/200 - Cross-entropy: 0.0115
Epoch 156/200 - Cross-entropy: 0.0111
